HDI Rank;Country;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
118; Bolivia (Plurinational State of);0,372222222;0,377083333;0,381944444;0,386805556;0,391666667;0,396527778;0,401388889;0,402777778;0,410416667;0,416666667;0,422222222;0,424305556;0,428472222;0,43125;0,431944444;0,433333333;0,4375;0,438194444;0,444444444;0,449305556;0,450694444;0,454861111;0,459722222;0,463888889;0,46875;0,472916667;0,478472222;0,48125
77; Bosnia and Herzegovina;;;;;;;;;;;0,466666667;0,470138889;0,474305556;0,477777778;0,481944444;0,486111111;0,490277778;0,494444444;0,499305556;0,5;0,495138889;0,500694444;0,513194444;0,51875;0,523611111;0,524305556;0,531944444;0,533333333
101; Botswana;0,403472222;0,408333333;0,407638889;0,40625;0,399305556;0,400694444;0,396527778;0,395833333;0,39375;0,393055556;0,392361111;0,39375;0,393055556;0,399305556;0,405555556;0,413888889;0,424305556;0,434027778;0,44375;0,45;0,458333333;0,467361111;0,474305556;0,48125;0,486805556;0,490277778;0,494444444;0,497916667
79; Brazil;0,424305556;0,427083333;0,431944444;0,4375;0,444444444;0,45;0,455555556;0,461111111;0,465277778;0,469444444;0,475;0,479861111;0,484722222;0,482638889;0,484722222;0,486111111;0,4875;0,489583333;0,497222222;0,498611111;0,504861111;0,507638889;0,511111111;0,519444444;0,522222222;0,525694444;0,526388889;0,527083333
39; Brunei Darussalam;0,543055556;0,546527778;0,55;0,553472222;0,55625;0,559027778;0,560416667;0,5625;0,563888889;0,568055556;0,56875;0,569444444;0,571527778;0,575;0,579166667;0,581944444;0,583333333;0,583333333;0,583333333;0,584722222;0,584722222;0,5875;0,591666667;0,592361111;0,592361111;0,591666667;0,591666667;0,592361111
51; Bulgaria;0,481944444;0,479861111;0,479861111;0,479166667;0,479861111;0,483333333;0,4875;0,488888889;0,492361111;0,491666667;0,494444444;0,501388889;0,50625;0,5125;0,517361111;0,520833333;0,525;0,530555556;0,535416667;0,5375;0,540972222;0,543055556;0,545833333;0,55;0,553472222;0,560416667;0,5625;0,564583333
183; Burkina Faso;;;;;;;;;;;0,198611111;0,201388889;0,205555556;0,210416667;0,216666667;0,225;0,23125;0,238888889;0,247916667;0,254166667;0,260416667;0,267361111;0,273611111;0,278472222;0,28125;0,286111111;0,291666667;0,29375
185; Burundi;0,20625;0,208333333;0,20625;0,207638889;0,206944444;0,205555556;0,204166667;0,205555556;0,208333333;0,208333333;0,210416667;0,209722222;0,215277778;0,219444444;0,225;0,229166667;0,243055556;0,250694444;0,258333333;0,26875;0,274305556;0,279861111;0,283333333;0,2875;0,292361111;0,290277778;0,290277778;0,289583333
125; Cabo Verde;;;;;;;;;;;0,395833333;0,399305556;0,40625;0,409027778;0,411111111;0,415277778;0,425694444;0,429861111;0,434027778;0,434722222;0,436805556;0,440972222;0,441666667;0,445833333;0,447222222;0,449305556;0,452777778;0,454166667
146; Cambodia;0,252777778;0,255555556;0,259027778;0,261805556;0,263888889;0,26875;0,271527778;0,275694444;0,279166667;0,282638889;0,291666667;0,301388889;0,314583333;0,323611111;0,331944444;0,340277778;0,348611111;0,35625;0,361805556;0,361805556;0,372916667;0,379166667;0,384027778;0,388888889;0,393055556;0,396527778;0,4;0,404166667
151; Cameroon;0,305555556;0,302777778;0,3;0,295833333;0,29375;0,293055556;0,293055556;0,293055556;0,297222222;0,295833333;0,299305556;0,311111111;0,313194444;0,318055556;0,322222222;0,323611111;0,327777778;0,336111111;0,341666667;0,346527778;0,351388889;0,357638889;0,365277778;0,371527778;0,377083333;0,380555556;0,384027778;0,386111111
